Delta_Time,Sample_Rate,MCC
15,0.5,0.3119532550384963
30,0.5,0.2524326098657527
45,0.5,0.4200401956892468
60,0.5,0.4082482904638631
75,0.5,0.4530333378893933
90,0.5,0.5424836601307189
105,0.5,0.23076923076923078
120,0.5,0.2833333333333333
135,0.5,0.472455591261534
150,0.5,0.0
165,0.5,0.0
180,0.5,0.0
15,1.0,0.18211712061332727
30,1.0,0.18992457439854846
45,1.0,0.3672387707016996
60,1.0,0.18693323659540842
75,1.0,0.16724840200141816
90,1.0,0.4869281045751634
105,1.0,0.18257418583505539
120,1.0,0.5523398999523437
135,1.0,0.19642857142857142
150,1.0,0.0
165,1.0,0.0
180,1.0,0.0
15,2.0,0.2007063458301165
30,2.0,0.3475870488861281
45,2.0,0.3673167623431248
60,2.0,0.3907035770421622
75,2.0,0.25874125874125875
90,2.0,0.3180344962932061
105,2.0,0.0
120,2.0,0.4666666666666667
135,2.0,0.0
150,2.0,0.0
165,2.0,0.0
180,2.0,0.5773502691896258
15,3.0,0.26943082192745565
30,3.0,0.2767244476054088
45,3.0,0.43687276933079094
60,3.0,0.21311104202299758
75,3.0,0.46382024385259374
90,3.0,0.255739079493506
105,3.0,0.07692307692307693
120,3.0,0.47193990372426947
135,3.0,0.0
150,3.0,0.0
165,3.0,0.0
180,3.0,0.5773502691896258
15,5.0,0.16886279960057315
30,5.0,0.17208670949258353
45,5.0,0.24139727088409565
60,5.0,0.24343224778007383
75,5.0,0.47410465593076045
90,5.0,0.3135467219426135
105,5.0,-0.2335496832484569
120,5.0,0.5401276624446222
135,5.0,0.0
150,5.0,0.0
165,5.0,0.0
180,5.0,0.0
